frame,arabic_voiceover_exact,english_voiceover_exact,historical_status,core_visual_claim,required_visible_elements,forbidden_generic_substitutes,recurring_character_id,image_prompt,source_reference
030,الحليب المُخفَّف يعني تغذيةً مخفَّفة. قد يبدو الطفل شبعاناً، هادئاً في الظاهر، بينما هو في الواقع يعاني نقص التغذية بصمت لأسابيع.,"Diluted formula means diluted nutrition. A baby can look fed — full stomach, apparent calm — while quietly being underfed for weeks.",PEER-REVIEWED EVIDENCE,A simple nutrition-level gauge shown low next to a baby that appears calm/content on the surface,"a small simple infant figure with a neutral/content expression lying in a crib, beside it a small nutrition-level gauge or simple filled-circle icon shown at a low level, visual contrast between apparent calm and the low gauge",no distressing or graphic depiction of a sick child; keep understated and factual,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A small simple infant figure with a calm, neutral expression resting in a plain crib, with a small nutrition-level gauge icon (a simple partially filled circle) placed beside the crib showing a low level, creating a quiet visual contrast between surface calm and an underlying deficit.",PEER-REVIEWED EVIDENCE (malnutrition risk from under-concentrated formula)
031,لم تفعل كلّ الأسر ذلك، لكن حيثما كان المال شحيحاً، كان هذا خطراً حقيقياً ومسجَّلاً.,"Not every family did this. But where money was tight, it was a real and recorded risk.",REASONABLE INFERENCE,"A row of several generic households where only some show the diluted-bottle icon, most show normal preparation, to visually represent 'not every family'","a row of four to five simple house icons; most show a normal bottle icon inside, one or two show the diluted/overwatered bottle icon from frame 29, representing a minority-but-real pattern","must not show all houses affected — only a minority, to avoid overgeneralizing",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A row of four to five simple flat house-outline icons on a plain background; most contain a small normal-looking bottle icon inside, while one or two contain the visibly overwatered/diluted bottle icon, illustrating that this was a real but not universal pattern among families under financial strain.",REASONABLE INFERENCE
032,هناك فخٌّ ثانٍ، منفصلٌ عن المال: التحضير. حليب الأمّ لا يحتاج ماءً، ولا زجاجة، ولا تعقيماً.,"There's a second trap, separate from money: preparation. Breast milk needs no water, no bottle, no sterilizing.",FACT,"Simple icon showing the maternal silhouette with a checkmark, and crossed-out icons for water drop, bottle, and sterilizer beside it to show breastfeeding needs none of these","the maternal torso silhouette icon in the center, with three small simple icons around it (a water-drop icon, a bottle icon, a sterilizing-pot icon) each with a small simple 'not needed' slash mark, without looking like an alarming prohibition sign",avoid a harsh red circle-slash 'banned' sign; keep it a gentle simple diagonal line,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat diagram centered on the maternal silhouette icon, surrounded by three small icons (a water-drop, a feeding bottle, a small sterilizing pot) each marked with a gentle simple diagonal line indicating 'not required', plain background, calm educational tone.",FACT
033,الحليب الصناعي يحتاج الثلاثة معاً، بشكلٍ صحيح، في كلّ مرّة.,"Formula needs all three, done correctly, every single time.",FACT,"Mirror of frame 32 but now the formula tin icon is surrounded by the same three icons WITHOUT the slash marks, all connected with small checkmarks","a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging centered, surrounded by the same three icons (water-drop, bottle, sterilizing pot) now each shown with a small simple checkmark instead of a slash, connected by short lines to the tin",must visually mirror frame 32's layout for clear before/after contrast,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat diagram mirroring the previous frame's layout: a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging centered, surrounded by the same three icons (water-drop, feeding bottle, sterilizing pot), each now marked with a small simple checkmark instead of a slash, connected by short lines to the tin, plain background.",FACT
034,تخيّلي العُلبة نفسها في بيتين. في الأوّل: صنبورٌ نظيف، زجاجةٌ نظيفة، ومكيالٌ دقيق.,"Picture the same tin of powder in two homes. In one: a clean tap, a clean bottle, an accurate scoop.",REASONABLE INFERENCE,Begin the two-house split visual: House A shown clean and well-equipped,"a simple flat kitchen interior (House A) with a clean modern tap/faucet icon, a clean clear bottle, a small precise scoop, and a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging, bright clean lighting, tidy simple composition",no House B elements visible yet in this frame — House A only,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat kitchen interior representing House A: a clean modern tap/faucet icon over a small basin, a clean clear feeding bottle, a small precise measuring scoop, and a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging on the counter, bright tidy lighting, orderly composition.",REASONABLE INFERENCE (safe-preparation baseline)
035,وفي الثاني: مصدر مياهٍ غير آمن، ولا وسيلة سهلة لتعقيم أيّ شيء.,"In the other: a water source that isn't safe, and no easy way to sterilize anything.",FACT,"House B shown with an unsafe/cloudy water source and no sterilizing equipment, same tin present","a simple flat home interior (House B) with a cloudy/murky water container or a simple well/jug icon suggesting untreated water, no stove or sterilizing pot visible, a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging still present and identical to House A's tin, dimmer more modest setting",the tin itself must look IDENTICAL to House A's tin — only the environment differs,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat home interior representing House B: a simple jug or container with visibly cloudy/murky water suggesting an unsafe source, no stove or sterilizing equipment in sight, a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging on a modest table looking identical to the tin in House A, dimmer more modest lighting and simpler furniture.","FACT (unsafe water access in many LMIC settings, documented)"
036,المياه غير الآمنة تُحوِّل تحضير الحليب إلى طريقٍ للبكتيريا، وهو ما يعني غالباً، عند الرضّع، الإصابة بالإسهال.,"Unsafe water turns formula preparation into a route for bacteria — and for infants, that often means diarrheal disease.",PEER-REVIEWED EVIDENCE,"Zoom into House B's bottle being prepared with the murky water, small simple bacteria-dot icons visible in the mixture, leading to a simple unwell-infant icon","a close-up of a bottle being filled from the murky water source with a few small simple dot/bacteria icons visible in the liquid, next to a small simple infant icon with a mild discomfort expression (not graphic/distressing)","keep the infant depiction gentle and non-graphic, not medically explicit or disturbing",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A close-up flat illustration of a feeding bottle being filled from a murky water source with a few small simple dot-shaped bacteria icons visible within the liquid, positioned beside a small simple infant icon with a mild, gentle discomfort expression, muted subdued color palette, non-graphic and restrained.",PEER-REVIEWED EVIDENCE (contaminated water preparation and diarrheal disease risk)
037,المنتَج في البيتين كان واحداً بالضبط. البيئة المحيطة به هي التي حدَّدت مستوى الخطر. وقد قدّر باحثون في الصحة العامة لاحقاً أنّ هذه الفجوة في المياه والصرف الصحّي، لا المسحوق نفسه، كانت أقوى مؤشّر على الضرر.,"The product in both homes was identical. The environment around it decided how dangerous it was. Public-health researchers would later estimate that this gap in water and sanitation, not the powder itself, was the strongest predictor of harm.",REASONABLE INFERENCE,"Final split-screen: House A and House B side by side, identical tin highlighted in both, but surrounding environment colored differently (safe=bright, risky=muted) to make the core thesis unmistakable","split-screen composition, House A (frame 34 content) on the left in bright clean colors, House B (frame 35 content) on the right in muted dimmer colors, both showing the exact same a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging highlighted with a subtle glow/outline in both halves to emphasize it is identical",the tin design must be pixel-identical in both halves; only environment/lighting differs,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A clear split-screen composition: House A's clean kitchen setup on the left in bright clean lighting, House B's modest setup with unsafe water on the right in muted dimmer lighting, with a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging appearing identical and subtly highlighted with a soft outline in both halves, visually proving the product is the same while the surrounding environment differs.",REASONABLE INFERENCE (central thesis statement of Act 6)
038,مع بداية السبعينيات، بدأ صحفيّون ونشطاء صحّيّون يطرحون أسئلةً صعبة عن تسويق الحليب الصناعي في الدول الفقيرة.,"By the early 1970s, journalists and health advocates were asking hard questions about formula marketing in poorer countries.",FACT,"A generic investigator/journalist figure examining documents and photographs pinned on a board, transitioning the film into the historical investigation section","a generic simple journalist/investigator figure standing before a small corkboard with a few simple document-icon and photo-icon shapes pinned to it (blank, no readable content), holding a notepad",no readable text on the documents or notepad,activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic simple journalist/investigator figure standing in front of a small corkboard holding several blank document-icon and photo-icon shapes pinned to it, the figure holding a small notepad, plain office-like setting, serious investigative mood.",FACT (rising public/journalistic scrutiny in the early 1970s)
039,"في عام 1974، نشرت منظّمة ""حرب على الفقر"" البريطانية تحقيقاً أعدّه الصحفي مايك مولر، بعنوان ""قاتل الأطفال"".","In 1974, the British charity War on Want published an investigation by Mike Muller. Its title: ""The Baby Killer.""",FACT,"A simple pamphlet/booklet object being held up or presented, with a simple skull-free, non-graphic dark cover design (no readable title text since no text allowed in images)","a generic simple investigator figure holding up a small booklet/pamphlet-shaped object with a plain dark cover (no readable text — communicate 'report/publication' purely through object shape), a small map of the world subtly visible behind them",no readable title text on the pamphlet cover; no skull or graphic violent imagery,activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic investigator/researcher figure holding up a small simple pamphlet-shaped object with a plain solid dark cover (no text, communicated purely as a 'published report' object), a soft flat world-map silhouette in the background, serious composed mood.","FACT (War on Want, 'The Baby Killer', Mike Muller, 1974)"
040,كان هذا عنوان تقريرٍ توعويّ نشطاويّ، لا حُكماً طبّياً، لكن أدلّته حول الممارسات التسويقية كانت دامغة.,"That was the title of a campaigning report, not a medical verdict — but its evidence on marketing practices was damning.",REASONABLE INFERENCE,"Contrast a campaigning-report icon against a medical-verdict icon to clarify the distinction, then show a stack of evidence documents",two small icons side by side for contrast: a megaphone icon (campaigning/activism) versus a stethoscope/medical-cross icon (medical verdict) with a subtle visual de-emphasis on the medical one; beside them a neat stack of blank document icons representing gathered evidence,no scale-of-justice icon (avoid implying a legal verdict either),activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat composition contrasting two small icons: a megaphone icon representing campaigning journalism, and a stethoscope/medical-cross icon representing medical authority, positioned to show the report belongs to the first category; beside them a neat stack of blank document icons representing the gathered evidence behind it.",REASONABLE INFERENCE (clarifying nature of the report vs. a formal medical finding)
041,"صدرت نسخة سويسرية من الكُتيِّب بعنوانٍ أكثر مباشرة: ""نِستله تقتل الأطفال"".","A Swiss edition of the pamphlet was retitled, bluntly, ""Nestlé Kills Babies.""",FACT,"A second, starker pamphlet object being placed beside the first, in a Swiss-alpine-simplified setting hinting at Switzerland without flags or text","a small simple pamphlet-shaped object similar to frame 39 but with a starker plain black cover, placed on a table with a subtle simple mountain-outline motif in the background evoking Switzerland (no flag, no text)","no Swiss flag, no readable title text, no explicit brand references",activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A small simple pamphlet-shaped object with a stark plain black cover resting on a table, a subtle simple mountain-outline silhouette in the background softly evoking a Swiss setting, no flags, no text, no logos, restrained serious tone.",FACT (German-language Swiss pamphlet 'Nestlé tötet Babys')
042,جرّ هذا التقرير، وردّة الفعل عليه، أكبر لاعبٍ في هذا القطاع إلى مواجهةٍ علنية لم يعرفها من قبل.,The report and the reaction to it pulled the industry's biggest player into a public reckoning it had never faced before.,REASONABLE INFERENCE,"A large generic corporate-building silhouette now surrounded by many small simple crowd/megaphone icons converging on it, symbolizing public pressure","one large simple generic corporate office-building silhouette in the center, surrounded by many small simple crowd-figure and megaphone icons converging toward it from all directions","no real company name, no real logo on the building",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A large simple generic corporate office-building silhouette centered on a plain background, surrounded by many small simple crowd-figure and megaphone icons converging toward it from multiple directions, symbolizing a wave of public scrutiny and pressure.",REASONABLE INFERENCE
043,رفعت الشركة دعوى تشهير بسبب هذا العنوان، وكسبتها في حدود المسألة القانونية الضيّقة الخاصّة بالألفاظ نفسها.,"The company sued for libel over that title — and won, on the narrow legal question of the words themselves.",FACT,"A simple courtroom scene with a generic gavel icon and two simplified opposing figures, calm procedural tone, not dramatic","a simple flat courtroom setting with a small judge's bench and gavel icon, two small generic opposing figures standing at separate podiums, neutral composed mood, no dramatic lighting",no aggressive or dramatic courtroom clichés; keep it calm and procedural,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat courtroom illustration with a small judge's bench featuring a gavel icon, two small generic figures standing at separate podiums facing the bench, plain neutral lighting, calm procedural composition rather than dramatic confrontation.",FACT (1976 Swiss libel case over the pamphlet's German title)
044,لكنّ القاضي أضاف تحذيراً: إن لم ترغب الشركة في أن تُتَّهم بالتسبُّب في الوفاة والمرض، فعليها أن تُغيِّر طريقة عملها.,"But the presiding judge added a warning: if the company didn't want to be accused of causing death and illness, it should change how it did business.",PRIMARY-SOURCE ALLEGATION,Close-up on the judge figure from frame 43 gesturing with a raised finger/warning gesture toward the corporate-building icon in the distance,"a simple judge figure behind the bench making a raised-finger cautionary gesture, a small distant corporate-building silhouette visible through a window behind them to visually connect the warning to the company",no text of the actual quote appears on screen,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat close-up of a judge figure behind a bench, making a calm raised-finger cautionary gesture, with a small distant generic corporate-building silhouette visible through a window behind the bench, connecting the judicial warning to the company.",PRIMARY-SOURCE ALLEGATION (judge's widely reported remarks in the 1976 verdict)
045,نفت الشركة مسؤوليّتها عن نتائج مرتبطة بالمياه والصرف الصحّي، وهي أمور خارج سيطرتها، مؤكِّدةً أنّ إصلاحاتٍ كانت جاريةً بالفعل.,"The company disputed responsibility for outcomes tied to water and sanitation it didn't control, while saying reforms were already under way.",COMPANY POSITION,"A generic company spokesperson figure at a simple podium with a microphone, gesturing calmly, a small water-drop icon with a 'not controlled by us' subtle distancing visual, and a small checklist/reform icon beside them","a generic spokesperson figure at a simple podium with a microphone icon, one hand gesturing toward a small water-drop icon positioned slightly apart from them, other hand near a small checklist/gear icon suggesting ongoing reform","keep the spokesperson generic and neutral, not caricatured or villainous",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic company spokesperson figure standing at a simple podium with a microphone icon, calmly gesturing with one hand toward a small water-drop icon positioned apart from them (indicating something outside their control), the other hand near a small checklist/gear icon suggesting reforms in progress, neutral composed tone, no caricature.",COMPANY POSITION (company's public rebuttal regarding water/sanitation responsibility)
046,"في عام 1977، أطلقت حملة أمريكية صغيرة تُدعى ""إنفاكت"" مقاطعةً استهلاكية لمنتجات الشركة.","In 1977, a small U.S. campaign called INFACT launched a consumer boycott of the company's products.",FACT,"A small group of a few generic activist figures outside a modest storefront holding simple picket-sign shapes (blank, no text) with a crossed-out generic product icon","a small group of three to four generic activist figures standing outside a simple storefront, holding blank simple picket-sign shapes, one sign showing a small crossed-out generic product icon",no readable text on picket signs; no real brand imagery,activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A small group of three to four generic activist figures standing outside a simple flat storefront, holding blank picket-sign shapes, one sign displaying a small simple crossed-out generic product icon instead of text, modest 1970s street setting.","FACT (INFACT boycott launched 1977, Minneapolis)"
047,انتشرت من مدينة واحدة إلى حملةٍ وطنية، ثمّ عبرت إلى كندا وبريطانيا وأستراليا وغيرها.,"It spread from one city to a national campaign, then crossed into Canada, the U.K., Australia, and beyond.",FACT,A simple map visual showing a small starting dot in one country expanding outward with ripple/wave rings to several other continents,"a simple flat world map/globe with one small highlighted starting point and several soft expanding ripple-ring icons radiating outward to touch a few other continents, echoing the earlier expansion map from frame 16 but now representing activism instead of marketing",no real flags or country name labels,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat world map or globe illustration with one small highlighted starting point and several soft concentric ripple-ring icons expanding outward to touch multiple other continents, visually mirroring the earlier company-expansion map but now representing the spread of the consumer boycott.",FACT (international spread of the boycott 1977-1978)
048,أصبحت واحدةً من أطول المقاطعات الاستهلاكية استمراراً في التاريخ ضدّ شركةٍ عابرة للقارّات، وامتدّت في نهاية المطاف إلى عشرات الدول واستمرّت حتى الثمانينيات.,"It became one of the longest-running consumer boycotts ever aimed at a single multinational corporation, eventually active in dozens of countries and lasting into the 1980s.",FACT,"A large crowd of generic activist figures filling the frame, denser and larger than frame 46, with a simple long timeline-ribbon icon beneath them suggesting long duration","a large dense crowd of generic simple activist figures (more than in frame 46), beneath them a long simple ribbon/timeline-bar icon extending across the width of the frame to suggest an unusually long duration",no specific end-date text; keep purely visual/proportional,activist,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A large dense crowd of generic simple activist figures filling most of the frame, with a long simple ribbon or timeline-bar icon stretching across the bottom of the frame to visually suggest an unusually long-running campaign, energetic but orderly composition.",FACT (boycott recognized as one of the largest/longest against a multinational)
049,في عام 1978، عقد مجلس الشيوخ الأمريكي جلسات استماع، وضغط على ممثِّل الشركة نفسه بشأن تسويقها في العالم النامي.,"In 1978, the U.S. Senate held hearings, pressing the company's own representative on its marketing in the developing world.",FACT,"A formal simple hearing-room scene: a raised panel of a few generic senator figures behind a long desk, one generic company-representative figure seated facing them at a small table with a microphone","a formal simple government hearing room: a raised long desk with three to four generic senator-like figures behind it, a single generic company representative figure seated below at a small table with a microphone, formal flags-free institutional setting",no real US flag or seal details; no real senator likenesses,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A formal simple flat hearing-room illustration: a raised long desk with three to four generic senator-like figures seated behind it, facing downward toward a single generic company-representative figure seated at a small table with a microphone, formal institutional atmosphere, muted government-building color palette.","FACT (1978 US Senate hearings on infant formula marketing, chaired by Sen. Kennedy)"
050,وكان السؤال المحوري: هل يجوز تسويق منتَجٍ يحتاج ماءً نظيفاً ودخلاً ثابتاً بقوّة، في أماكن لا يتوفَّر فيها أيّ منهما؟,The question at the center of it all: should a product that requires clean water and steady income be marketed aggressively where neither is guaranteed?,REASONABLE INFERENCE,"A single central formula-tin icon with a large simple question-mark shape above it, flanked by the water-drop and coin icons both shown faded/absent on one side","a central generic formula tin with a large simple question-mark shape floating above it, on either side small faded/ghosted versions of the water-drop icon and coin icon to represent their absence or uncertainty in some settings",no aggressive or accusatory imagery — keep it as a genuine open question,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A central simple generic formula tin with a large clean question-mark shape floating directly above it, flanked on either side by small faded or semi-transparent water-drop and coin icons suggesting their uncertain availability, plain neutral background, contemplative tone.",REASONABLE INFERENCE (the hearings' central policy question)
